Epoch,lrate,train_tpr,train_roc,train_loss,val_tpr,val_roc,val_loss,running_loss
0,0.05,0.0,0.5329860204784349,0.0063051961551071,0.004363062498549514,0.5975155512737007,0.006176541647045049,0
1,0.05,0.00012767241579423848,0.5669122079555472,0.006224288050205746,0.004804010304253986,0.6088393054152332,0.006137944566546229,0
2,0.05,0.0004059006355244236,0.5820336595866252,0.006175223235923334,0.010281046206688483,0.617318380741239,0.006117076717052375,0
